date_article,delai,jours,heures,nbt,nbrt,nbtmedia,nbrtmedia,nbimages,nbvideos,titre,media
22/07/2014 13:54,0,0,0,1,1,0,0,0,0,Beyoncé en chemise à carreaux avec Blue Ivy et Jay Z sur Instagram,melty.fr
23/05/2014 15:07,1,118,2820,5,5,0,0,0,0,"Bac 2014 : Andréa Tle ES; ""Avec un peu de persévérance on peut arriver à tout !"" (EXCLU)",melty.fr
03/07/2014 16:55,1,0,0,2,2,0,0,0,0,Khloé Kardashian en total look noir avec Rob sur Instagram,melty.fr
23/09/2014 21:42,1,0,10,10,2,0,0,0,0,Nabilla s'amuse avec Thomas sur Instagram; son selfie naturel,melty.fr
08/08/2014 15:55,1,2,42,16,16,2,2,0,0,The Vampire Diaries Saison 6 : Jo Robles (Jodi Lyn O'Keefe) sera le love interest d’Alaric !,melty.fr
08/09/2014 15:50,1,0,1,6,6,2,2,0,0,Gotham saison 1 : Bruce Wayne (David Mazouz) dans une nouvelle vidéo promo !,melty.fr
06/07/2014 15:55,1,0,0,2,2,0,0,0,0,Kendall Jenner à Paris; son look exact à shopper sur Zara et Topshop,melty.fr
19/09/2014 10:56,1,0,0,2,2,0,0,0,0,Kourtney Kardashian enceinte montre son baby bump en top gris à LA,melty.fr
29/07/2014 05:55,1,0,2,5,5,1,1,0,0,New Girl saison 4 : Reid Scott en guest-star,melty.fr
06/10/2014 17:37,0,0,0,4,4,0,0,0,0,Grey's Anatomy saison 11 : Episode 5; le résumé dévoilé !,melty.fr
16/09/2014 10:08,0,1,12,16,16,0,0,0,0,TPMP : Jean-Michel Maire fait de l'auto-stop en slip,melty.fr
15/04/2014 17:58,0,1,23,8,3,0,0,0,0,Anaïs des Anges 6 lookée sexy chic en mini short en jean sur Instagram,melty.fr
10/04/2014 17:25,1,0,1,5,3,0,0,0,0,Game of Thrones : La parodie KFC de Jimmy Kimmel,melty.fr
23/09/2014 14:21,1,0,0,1,1,0,0,0,0,"Qu'est-ce qui arrivera le plus tôt ?&nbsp,",bfmtv.com
04/09/2014 15:12,1,1,18,3,2,0,0,0,0,Et à la fin; le PRG…,francetvinfo.fr
05/10/2014 13:53,1,0,8,31,6,0,0,1,0,En vidéo : Wenger s’énerve et secoue Mourinho,bfmtv.com
13/06/2014 14:14,1,2,42,19,13,0,0,0,0, Du Nutella ou des pâtes grâce à une imprimante 3D,lci.tf1.fr
01/10/2014 05:30,1,6,135,60,45,4,4,0,0,Médias citoyens : réconcilier médias et démocratie,bastamag.net
29/08/2014 10:39,0,0,1,4,4,0,0,0,0,Les Ch'tis dans la Jet Set : Gaelle et Jordan séparés ? Elle réagit sur Facebook,melty.fr
08/10/2014 08:13,1,2,48,10,1,0,0,0,0,Lyon : Un second Burger King en projet à la Part-Dieu,20minutes.fr
17/06/2014 09:39,1,42,1005,574,218,7,6,0,0,Moins de 3;5 euros par jour pour manger : la pauvreté alimentaire progresse en France,bastamag.net
18/06/2014 20:45,1,0,12,12,7,3,3,0,0,Centre pénitentiaire d'Alençon. Surveillants blessés; dont un par Fofana  ,ouest-france.fr
08/03/2014 08:52,1,0,0,1,0,1,0,0,0,Nicolas Sarkozy; voici comment ne plus vous faire écouter,lexpress.fr
11/06/2014 17:51,0,0,1,5,3,1,1,0,0,Mondial 2014. Suisse : Hitzfeld « rêve » des quarts avant la retraite  ,ouest-france.fr
04/07/2014 14:47,1,0,0,2,2,0,0,0,0,Curly Bro' University : Comment faire de ta coloc' the place to be pour tes bros ?,melty.fr
27/09/2014 08:29,1,0,3,4,4,2,2,0,0,The Originals saison 2 : Episode 1;  2 extraits inédits dévoilés !,melty.fr
05/02/2014 08:41,0,228,5479,10,9,1,1,0,0,Education des enfants autistes: la France condamnée,lexpress.fr
10/09/2014 12:33,0,1,22,16,16,2,2,0,0,The Vampire Diaries saison 6: Damon prisonnier; tentera de s'échapper !,melty.fr
24/09/2014 13:00,1,1,18,10,4,0,0,0,0,Baudouin Prot; le leader d'une génération; jette l'éponge,latribune.fr
23/08/2014 09:10,0,0,0,1,1,0,0,0,0,WRC. Rallye d'Allemagne : nouvelle sortie de route pour Ogier  ,ouest-france.fr
23/05/2014 10:28,1,1,21,25,24,0,0,0,0,L'actionnaire majoritaire des chantiers navals de Saint-Nazaire vend ses parts,francetvinfo.fr
02/10/2014 10:24,0,0,0,2,2,0,0,0,0,TPMP : Nabilla parle de sa vie sexuelle (Vidéo),melty.fr
25/05/2014 10:21,1,4,94,6,6,0,0,0,0,The Originals : Bilan de la saison 1 du spin-off de Vampire Diaries,melty.fr
26/06/2014 16:24,1,1,19,2,2,0,0,0,0,Six choses à découvrir au Musée du sport,metronews.fr
23/08/2014 16:04,1,1,21,9,1,0,0,1,0,Shy’m interpellée ivre et les cendres de Robin Williams dispersées : la semaine people,bfmtv.com
18/09/2014 16:18,1,2,53,12,10,2,2,0,0,The Vampire Diaries saison 6 : 5 choses à savoir sur la prochaine saison !,melty.fr
11/08/2014 06:30,2,4,86,56,22,2,1,0,0,"EN IMAGES. La ""super Lune"" photographiée aux quatre coins de la Terre",francetvinfo.fr
22/06/2014 16:04,1,0,1,4,4,0,0,0,0,Lavillenie remporte le concours de la perche avec une seule barre,lequipe.fr
28/06/2014 07:00,2,4,102,42,42,0,0,0,0,Daraybi s'épanouit,leparisien.fr
09/06/2014 07:07,1,0,1,4,4,0,0,0,0,Les Anges 6 : Shanna en duo avec Justin Bieber ? Les Twittos mitigés,melty.fr
02/10/2014 12:03,1,0,1,9,5,0,0,0,0,Sénatoriales 2014 : des tweets musicaux pour consoler Jean-Michel Baylet,francetvinfo.fr
04/08/2014 21:04,1,2,39,8,6,1,1,0,0,"Ligue 2 : des fleurs et une défaite pour Corinne Diacre; première femme ""entraîneure""",francetvinfo.fr
22/04/2014 10:54,1,0,0,1,1,1,1,0,0,Politique à Vire. Budget et fiscalité locale au conseil municipal  ,ouest-france.fr
31/07/2014 13:19,1,0,0,1,1,0,0,0,0,Gardiens de la Galaxie : Le cast dévoile ses scènes préférées,melty.fr
22/08/2014 21:58,1,0,0,10,6,0,0,0,0,Secret Story 8 : Aymeric et Nathalie dans la maison de la seconde chance; Twitter surpris,melty.fr
25/07/2014 23:16,0,1,12,14,8,0,0,0,0,Secret Story 8 : Stefan sauvé par le public; Twitter réagit,melty.fr
21/09/2014 20:06,0,4,96,50,32,2,1,0,0,"VIDEO. Nicolas Sarkozy : ""Est-ce que vous me prêtez deux neurones d'intelligence ?""",francetvinfo.fr
11/09/2014 08:44,1,29,699,543,292,6,4,0,0,Tapie n'a pas été lésé dans la vente d'Adidas en 1993,lemonde.fr
28/09/2014 16:28,0,0,0,2,2,0,0,0,0,Grey’s anatomy saison 11 : Derek et Meredith; la saga continue,melty.fr
07/04/2014 20:47,1,0,6,3,3,0,0,0,0,Bachelor saison 2; Louise vs Martika en robe longue le 7 avril,melty.fr
24/08/2014 10:02,0,0,6,3,3,1,1,0,0,Ligue 2. Le résumé et les réactions de Troyes - Laval en vidéo  ,ouest-france.fr
25/09/2014 07:43,1,1,14,12,7,2,1,2,0,Blackberry et le MEDEF,bfmtv.com
